n_fold,k,score_function,algorithm,accuracy,precision,recall,f-measure
2,11,chi2,LogisticRegression,0.8736479842674533,0.8762761317052533,0.8741065281462974,0.873510737739092
2,11,chi2,DecisionTree,0.8839724680432645,0.889753086419753,0.8846396330190065,0.8836564935820375
2,11,chi2,SimpleLogistic,0.883480825958702,0.8851404254823715,0.8838447911751282,0.8834131647461578
2,11,chi2,JRIP,0.5147492625368731,0.6957940053146401,0.5198778148231236,0.37826232514810554
3,11,chi2,NaiveBayes,0.8407079646017699,0.8561602057468323,0.8449353481669714,0.839905548996458
3,11,chi2,KNN,0.8264503441494592,0.8656151630835176,0.8330566875329264,0.823453606663108
3,11,chi2,RandomForest,0.8952802359882006,0.8959764460735233,0.8964001828380179,0.8952729203041819
3,11,chi2,LogisticRegression,0.8716814159292036,0.8730513252295706,0.8730805881806067,0.8716813849130624
3,11,chi2,DecisionTree,0.8952802359882006,0.8959764460735233,0.8964001828380179,0.8952729203041819
3,11,chi2,SimpleLogistic,0.8854473942969519,0.8858600257438592,0.886392512938114,0.8854300862244233
3,11,chi2,JRIP,0.5014749262536873,0.6916257402860032,0.5205557191112212,0.3732516175614357
4,11,chi2,NaiveBayes,0.8574237954768928,0.8703370179992435,0.8568735116069279,0.8560318425756792
4,11,chi2,KNN,0.8461160275319567,0.8828592814371258,0.8452027695351138,0.8420843099060878
4,11,chi2,RandomForest,0.9139626352015733,0.9151012569832402,0.9138117075802537,0.9138800155908745
4,11,chi2,LogisticRegression,0.9021632251720747,0.9036234641731,0.9019886816862025,0.9020438685757779
4,11,chi2,DecisionTree,0.9134709931170109,0.9146514052913646,0.9133171477385127,0.9133852399916769
4,11,chi2,SimpleLogistic,0.9129793510324484,0.9136587152123876,0.912863196916035,0.9129246073640331
4,11,chi2,JRIP,0.5260570304818093,0.737830381774495,0.5232559151387524,0.3857933849814495
5,11,chi2,NaiveBayes,0.8579154375614553,0.8753055420328474,0.8544279907084785,0.8552698477495309
5,11,chi2,KNN,0.8382497541789578,0.8807106598984771,0.8328252032520325,0.8319105801843748
5,11,chi2,RandomForest,0.9075712881022615,0.9102694905713482,0.9063240418118468,0.9071438562137213
5,11,chi2,LogisticRegression,0.8849557522123894,0.8874102870813397,0.883684668989547,0.8844237359255893
5,11,chi2,DecisionTree,0.908062930186824,0.9108350202775419,0.9068002322880372,0.9076315588167083
5,11,chi2,SimpleLogistic,0.9041297935103245,0.905269377215633,0.9033101045296168,0.9038434264643314
5,11,chi2,JRIP,0.5383480825958702,0.7533274796817613,0.5228977932636469,0.3900235281192483
6,11,chi2,NaiveBayes,0.8579154375614553,0.8742553677661434,0.8614587860420682,0.8570638299217486
