Accuracy,Precision,Recall,F1_Score,RoC_AuC,Modelo,Método LR,Método SigAPI,Método RFG,Método SigPID,Método JOWMDroid,Dataset,Combinação
95.87210023570276,95.88471252414202,63.46116027531957,76.37417904266019,81.57057921346671,SVM,0,1,0,1,0,sigpid_sigapi,SigAPI + SigPID
95.87313401976594,95.8853238265003,63.47099311701082,76.38149331440066,81.57549563431233,RF,0,1,0,1,1,sigpid_sigapi_jowmdroid,SigAPI + SigPID + JOWMDroid
98.01926973493777,94.53917548025038,86.13569321533923,90.1420045276806,92.77557055120144,RF,0,0,1,1,1,sigpid_rfg_jowmdroid,RFG + SigPID + JOWMDroid
97.91382376049292,94.400871459695,85.21140609636186,89.57105943152456,92.30880602639306,RF,1,0,1,0,0,lr_rfg,LR + RFG
97.95724269114667,94.6490845684394,85.39823008849558,89.78600227437198,92.41550329775394,RF,1,0,1,0,1,lr_rfg_jowmdroid,LR + RFG + JOWMDroid
95.87210023570276,95.88471252414202,63.46116027531957,76.37417904266019,81.57057921346671,RF,1,1,0,0,1,lr_sigapi_jowmdroid,LR + SigAPI + JOWMDroid
95.87210023570276,95.87108272686766,63.47099311701082,76.37697450156779,81.57491801364739,RF,1,1,0,0,0,lr_sigapi,LR + SigAPI
97.96551296365216,94.25857975393912,85.88003933136676,89.87445976538382,92.6327254719263,RF,0,0,1,1,0,sigpid_rfg,RFG + SigPID
95.87210023570276,95.87108272686766,63.47099311701082,76.37697450156779,81.57491801364739,RF,0,1,0,1,0,sigpid_sigapi,SigAPI + SigPID
97.7990737294794,95.5787325700034,82.9006882989184,88.78942657048076,91.225072090126,SVM,0,0,0,0,0,androcrawl_api_calls,ORIGINAL
89.48848364553612,100.0,0.0196656833824975,0.0393236335037357,50.00983284169125,SVM,0,0,0,0,0,androcrawl_intents,ORIGINAL
97.93759563568624,98.62785091785648,95.75157515751576,97.16843259042749,97.48532746900692,SVM,0,0,0,0,0,drebin_215_api_calls_limpo,ORIGINAL
67.6443202979516,55.066336200612334,67.93165467625899,60.82615347451485,67.70369141579938,SVM,0,0,0,0,0,drebin_215_commands,ORIGINAL
94.5125348189415,68.75,18.18501582835033,28.762169680111267,58.824408340852784,SVM,0,0,0,0,0,motodroid_intents,ORIGINAL
96.479537175916,79.26829268292683,57.157931762223,66.42141835274883,78.09410495063486,SVM,0,0,0,0,0,motodroid_all,ORIGINAL
98.67606945645666,99.13761467889908,97.26372637263728,98.19173103134938,98.38386825174707,SVM,0,0,0,0,0,drebin_215_all,ORIGINAL
95.97171630597816,90.15846538782318,38.02321491382343,53.48837209302326,68.87698724562642,SVM,0,0,0,0,0,motodroid_permissions,ORIGINAL
95.99957145918148,71.16218560277538,57.72071755188182,63.74053214216353,78.10169402590098,SVM,0,0,0,0,0,motodroid_api_calls,ORIGINAL
