Accuracy,Precision,Recall,F1_Score,RoC_AuC,Metodo,Modelo,Dataset
78.8171113033065,83.17631224764467,39.75981128029166,53.80150899593731,68.07145656607176,LinearRegression,SVM,svm_output_linear-regression-drebin_215_all.csv
79.4824030337303,72.76703111858704,74.70212398549472,73.72188139059304,78.59023948192485,LinearRegression,SVM,svm_output_linear-regression-drebin_215_api_calls_limpo.csv
98.8826815642458,62.68221574344023,84.31372549019608,71.90635451505017,91.7238744493129,LinearRegression,SVM,svm_output_linear-regression-drebin_215_commands.csv
97.18010109071562,91.9298245614035,58.09312638580931,71.19565217391305,78.88383501970529,LinearRegression,SVM,svm_output_linear-regression-drebin_215_intents.csv
99.707368981112,100.0,31.25,47.61904761904761,65.625,LinearRegression,SVM,svm_output_linear-regression-drebin_215_permissions.csv
100.0,100.0,100.0,100.0,100.0,LinearRegression,SVM,svm_output_linear-regression-motodroid_all.csv
100.0,100.0,100.0,100.0,100.0,LinearRegression,SVM,svm_output_linear-regression-motodroid_api_calls.csv
100.0,100.0,100.0,100.0,100.0,LinearRegression,SVM,svm_output_linear-regression-motodroid_intents.csv
100.0,100.0,100.0,100.0,100.0,LinearRegression,SVM,svm_output_linear-regression-motodroid_permissions.csv
99.67400705209234,99.89126495106925,99.22592259225922,99.5574821638219,99.58130236831198,RFG,RF,rf_output_top_101_features_with_f_classif_drebin_215_all.csv.csv
97.16014897579144,97.90927758073548,94.33453237410072,96.08866904827332,96.57629953445432,RFG,RF,rf_output_top_101_features_with_f_classif_drebin_215_permissions.csv.csv
97.54874651810584,98.57061177815896,60.640168835736894,75.08710801393728,80.29156318666394,RFG,RF,rf_output_top_1201_features_with_f_classif_motodroid_permissions.csv.csv
97.4908935076066,81.73880030372058,75.72986282096377,78.61968230783275,87.31618292210715,RFG,RF,rf_output_top_1401_features_with_chi2_motodroid_api_calls.csv.csv
94.6410970644954,69.52054794520548,21.4210341188885,32.750739446087664,60.4059103101801,RFG,RF,rf_output_top_201_features_with_chi2_motodroid_intents.csv.csv
