Accuracy,Precision,Recall,F1_Score,RoC_AuC,Metodo,Modelo,Dataset
98.22367107976848,99.12671869193608,96.03960396039604,97.55874554265336,97.77180704562647,RFG,SVM,svm_output_top_101_features_with_f_classif_drebin_215_all.csv.csv
95.14498536844906,98.12674372259865,88.56115107913669,93.09888447721686,93.78458567042524,RFG,SVM,svm_output_top_101_features_with_f_classif_drebin_215_permissions.csv.csv
95.97385901007073,90.09983361064891,38.09356313753078,53.54758961681089,68.91102050823193,RFG,SVM,svm_output_top_1201_features_with_f_classif_motodroid_permissions.csv.csv
95.9802871223484,71.04919460165434,57.40415054519873,63.501945525291816,77.94341052255943,RFG,SVM,svm_output_top_1401_features_with_chi2_motodroid_api_calls.csv.csv
94.51039211484894,68.70838881491345,18.14984171649666,28.71452420701168,58.80682128492594,RFG,SVM,svm_output_top_201_features_with_chi2_motodroid_intents.csv.csv
97.71430343629822,95.02206131915376,82.58603736479843,88.36866747330212,91.03886558981816,RFG,SVM,svm_output_top_21_features_with_f_classif_androcrawl_api_calls.csv.csv
92.24935134056284,93.37944664031622,85.05850585058505,89.02496467263306,90.76162945547404,RFG,SVM,svm_output_top_21_features_with_f_classif_drebin_215_api_calls_limpo.csv.csv
79.17664272412875,75.55228276877762,64.5863309352518,69.6402598661883,76.16188644694208,RFG,SVM,svm_output_top_21_features_with_f_classif_drebin_215_intents.csv.csv
96.48382258410112,79.345703125,57.157931762223,66.44857902269474,78.09638664913122,RFG,SVM,svm_output_top_3001_features_with_chi2_motodroid_all.csv.csv
97.5519993383782,95.74343339587244,80.28515240904622,87.33554390843939,89.93289990314375,RFG,SVM,svm_output_top_31_features_with_chi2_androcrawl_all.csv.csv
89.50709175867345,55.376344086021504,1.012782694198623,1.989185013518733,50.45844883190789,RFG,SVM,svm_output_top_41_features_with_chi2_androcrawl_permissions.csv.csv
89.48848364553612,100.0,0.0196656833824975,0.0393236335037357,50.00983284169125,RFG,SVM,svm_output_top_7_features_with_chi2_androcrawl_intents.csv.csv
89.48848364553612,100.0,0.0196656833824975,0.0393236335037357,50.00983284169125,RFG,SVM,svm_output_top_7_features_with_f_classif_androcrawl_intents.csv.csv
