Accuracy,Precision,Recall,F1_Score,RoC_AuC,Metodo,Modelo,Dataset
98.35727587124236,98.66275874702326,96.87050359712232,97.75841727924494,98.0500681767798,Drebin,RF,rf_output_lr_rfg.csv
98.7829209896249,98.97977773729276,97.7158273381295,98.34374151506924,98.56243034276672,Drebin,RF,rf_output_lr_rfg_jowmdroid.csv
98.32402234636872,99.18458117123797,96.2589928057554,97.6998904709748,97.89733093221496,Drebin,RF,rf_output_lr_sigapi.csv
98.57674913540836,99.11797133406836,97.01438848920864,98.05489910925286,98.25392282206316,Drebin,RF,rf_output_lr_sigapi_jowmdroid.csv
99.33492950252727,99.49238578680205,98.70503597122304,99.09714698447092,99.20477632246252,Drebin,RF,rf_output_sigpid_rfg.csv
99.35488161745144,99.40314704286487,98.84892086330936,99.12525926593922,99.25033632865762,Drebin,RF,rf_output_sigpid_rfg_jowmdroid.csv
99.28837456770415,99.49174078780176,98.57913669064747,99.0333363447466,99.14182668217474,Drebin,RF,rf_output_sigpid_sigapi.csv
99.3149773876031,99.42039485600436,98.72302158273382,99.07048100351956,99.19266317633948,Drebin,RF,rf_output_sigpid_sigapi_jowmdroid.csv
