Accuracy,Precision,Recall,F1_Score,RoC_AuC,Metodo,Modelo,Dataset
97.66230983501178,83.87470997679814,76.29264861062258,79.90421808804568,87.67059016882008,Motodroid,RF,rf_output_rl_rfg.csv
97.75658881508464,85.05074160811866,76.64438972915933,80.62904717853839,87.8852496025266,Motodroid,RF,rf_output_rl_rfg_jowmdroid.csv
95.60317120205698,71.74271577789995,45.90221596904679,55.984555984556,72.3647114709587,Motodroid,RF,rf_output_rl_sigapi.csv
95.8281551317763,74.42748091603053,48.01266268026732,58.370750481077614,73.47127304273707,Motodroid,RF,rf_output_rl_sigapi_jowmdroid.csv
97.66445253910436,83.95970554048819,76.22230038691524,79.90412979351032,87.63883860471094,Motodroid,RF,rf_output_sigpid_rfg.csv
97.7715877437326,85.42239685658153,76.46851916989095,80.69784706755753,87.81100451387057,Motodroid,RF,rf_output_sigpid_rfg_jowmdroid.csv
95.51317763016928,72.96137339055794,41.85719310587408,53.19624497094322,70.4254820344895,Motodroid,RF,rf_output_sigpid_sigapi.csv
95.73816155988858,76.78795483061481,43.05311290889905,55.172413793103445,71.10444223262277,Motodroid,RF,rf_output_sigpid_sigapi_jowmdroid.csv
