n_fold,k,score_function,algorithm,accuracy,precision,recall,f-measure
6,1,chi2,LogisticRegression,0.5447394296951819,0.6087527736151519,0.5564065807596892,0.488957480684138
6,1,chi2,DecisionTree,0.5447394296951819,0.6087527736151519,0.5564065807596892,0.488957480684138
6,1,chi2,SimpleLogistic,0.5447394296951819,0.6087527736151519,0.5564065807596892,0.488957480684138
6,1,chi2,JRIP,0.48279252704031467,0.24151500245941956,0.49949135300101727,0.3255968169761273
7,1,chi2,NaiveBayes,0.5471976401179941,0.5898790440104926,0.5429398198511814,0.47660322417603973
7,1,chi2,KNN,0.5058997050147492,0.2529498525073746,0.5,0.33594515181194906
7,1,chi2,RandomForest,0.5471976401179941,0.5898790440104926,0.5429398198511814,0.47660322417603973
7,1,chi2,LogisticRegression,0.5471976401179941,0.5898790440104926,0.5429398198511814,0.47660322417603973
7,1,chi2,DecisionTree,0.5471976401179941,0.5898790440104926,0.5429398198511814,0.47660322417603973
7,1,chi2,SimpleLogistic,0.5471976401179941,0.5898790440104926,0.5429398198511814,0.47660322417603973
7,1,chi2,JRIP,0.5054080629301868,0.2528283325135268,0.49951409135082603,0.33572828216851736
8,1,chi2,NaiveBayes,0.5408062930186824,0.6032435801355092,0.552267711962834,0.48264176347047083
8,1,chi2,KNN,0.4837758112094395,0.24188790560471976,0.5,0.3260437375745527
8,1,chi2,RandomForest,0.5408062930186824,0.6032435801355092,0.552267711962834,0.48264176347047083
8,1,chi2,LogisticRegression,0.5408062930186824,0.6032435801355092,0.552267711962834,0.48264176347047083
8,1,chi2,DecisionTree,0.5408062930186824,0.6032435801355092,0.552267711962834,0.48264176347047083
8,1,chi2,SimpleLogistic,0.5408062930186824,0.6032435801355092,0.552267711962834,0.48264176347047083
8,1,chi2,JRIP,0.4832841691248771,0.24176094441711757,0.4994918699186992,0.32582035134239307
9,1,chi2,NaiveBayes,0.5698131760078663,0.6210394296778736,0.5585629049662961,0.49936525787576713
9,1,chi2,KNN,0.515732546705998,0.257866273352999,0.5,0.34025300032435934
9,1,chi2,RandomForest,0.5698131760078663,0.6210394296778736,0.5585629049662961,0.49936525787576713
9,1,chi2,LogisticRegression,0.5698131760078663,0.6210394296778736,0.5585629049662961,0.49936525787576713
9,1,chi2,DecisionTree,0.5698131760078663,0.6210394296778736,0.5585629049662961,0.49936525787576713
9,1,chi2,SimpleLogistic,0.5698131760078663,0.6210394296778736,0.5585629049662961,0.49936525787576713
9,1,chi2,JRIP,0.5152409046214356,0.25774717166748645,0.49952335557673977,0.34003893575600264
